sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,vacancy_concentration_pred_per_dopant_platt,_platt_bucket
231,15.873361587524414,15.537107759735909,0.1122780442237854,,Mg,15.601476048407584,per_dopant:Mg
232,15.563677215576172,15.15110148620831,0.1122883982956409,,Mg,15.219572735235609,per_dopant:Mg
233,17.11887893676758,17.123980251791732,0.1201659128069877,,Si,17.150426714487594,per_dopant:Si
234,17.46860008239746,17.52149139962841,0.095293078571558,,Ta,17.610823352720267,global_fallback
235,16.28285369873047,16.039110983710437,0.0807453755289316,,Mg,16.106462441500476,per_dopant:Mg
236,17.76724624633789,17.901910512641997,0.1472478732466697,,Sn,18.598719972832992,per_dopant:Sn
237,18.087490844726563,18.30836903043131,0.1883836954832077,,Sn,19.269895139064257,per_dopant:Sn
238,18.21373786926269,18.46719912892876,0.1732972010970115,18.988000869750977,Sn,19.534486230079,per_dopant:Sn
239,15.861910438537596,15.522159922423333,0.1014415279030799,,Mg,15.587354471299317,per_dopant:Mg
240,15.559699249267576,15.14600275757915,0.1095774039626121,,Mg,15.214667100174392,per_dopant:Mg
241,17.13352394104004,17.141656212266035,0.0966443337500095,,Si,17.168177952850794,per_dopant:Si
242,17.470309448242187,17.521270029687976,0.0929296389222145,,Ta,17.61314738527275,global_fallback
243,16.298586654663087,16.059674982675585,0.0867489844560623,,Mg,16.12586435047914,per_dopant:Mg
244,16.78930549621582,16.682132426017272,0.0420974846929311,16.396793365478516,Sn,16.549131786708816,per_dopant:Sn
245,16.7771053314209,16.6673385221793,0.0382965147495269,16.946216583251953,Sn,16.52356243229821,per_dopant:Sn
246,16.770927810668944,16.659498877221687,0.0458526771515607,17.437721252441406,Sn,16.51061545820887,per_dopant:Sn
247,15.950351333618164,15.63020993606143,0.1152034282684326,15.474210739135742,Mg,15.696419938951685,per_dopant:Mg
248,15.816842079162598,15.462767476878108,0.1146347552537918,15.209832191467283,Mg,15.531776091104486,per_dopant:Mg
249,15.767762184143066,15.400946535624731,0.124094733595848,15.172197341918944,Mg,15.47125067808421,per_dopant:Mg
