sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,vacancy_concentration_pred_rank,vacancy_concentration_pred_refined,vacancy_concentration_alpha
95,12.43995704650879,13.611300567913643,1.6803905539214612,,Sn,RF magnetron sputtering,,0.3,10.1364/OME.8.003506,Sn,True,12.111300567913643,13.611300565059373,1.9028465894324948e-09
96,5.108140754699707,7.59259315413871,0.4061358724720776,,Sn,RF magnetron sputtering,,0.5,10.1364/OME.8.003506,Sn,True,6.09259315413871,7.592593153971977,1.1115423535806397e-10
97,5.024161529541016,7.523654385769628,0.5148730220273137,,Sn,RF magnetron sputtering,,0.7,10.1364/OME.8.003506,Sn,True,6.023654385769628,7.523654385501666,1.7864200603188587e-10
98,5.016958618164063,7.517741496741889,0.4381817898713052,,Sn,RF magnetron sputtering,,0.9,10.1364/OME.8.003506,Sn,True,6.017741496741889,7.517741496547808,1.2938739343178892e-10
99,4.992168235778808,7.49739100617939,0.3512436331715435,,Sn,RF magnetron sputtering,,1.2,10.1364/OME.8.003506,Sn,True,5.99739100617939,7.4973910060546824,8.313812684232465e-11
100,5.247892379760742,7.707315633312341,0.5353890628553927,,Sn,RF magnetron sputtering,,1.5,10.1364/OME.8.003506,Sn,True,6.207315633312341,7.707315633022597,1.9316227148025626e-10
101,5.199180984497071,7.667328319918207,0.3425419449806213,,Sn,RF magnetron sputtering,N2,0.82,10.1016/j.mssp.2020.105430,Sn,True,6.167328319918207,7.667328319799602,7.906983501014151e-11
102,-6.148719882965088,-1.6481935594393193,0.5885854558087885,,Sn,RF magnetron sputtering,N2,1.0,10.1016/j.mssp.2020.105430,Sn,True,-3.1481935594393193,-1.6481935597895012,2.3345456274458186e-10
103,-5.90520076751709,-1.4482880725574137,0.5264328144490719,,Sn,RF magnetron sputtering,,7.0,10.1016/j.mtphys.2020.100263,Zn,True,0.05171192744258635,-1.4482880722772833,1.8675370176225075e-10
104,14.792823600769044,15.542774954358624,2.2640756368637085,,Zn,RF magnetron sputtering,,0.69,10.1007/s13391-017-7072-y,Zn,True,14.042774954358624,14.845096483302534,0.46511898070406055
105,-1.6457414627075195,2.0483133528179533,0.3260037423111498,,Zn,RF magnetron sputtering,,0.88,10.1007/s13391-017-7072-y,Zn,True,3.5483133528179533,2.0483133529253816,7.161903828251574e-11
106,-1.8033615112304688,1.9189226374962303,0.357583873718977,,Zn,RF magnetron sputtering,,0.96,10.1007/s13391-017-7072-y,Zn,True,3.4189226374962303,1.9189226376254802,8.616664102334802e-11
107,-1.7011215209960937,2.002851716283347,0.461760236788541,,Zn,RF magnetron sputtering,,1.83,10.1007/s13391-017-7072-y,Zn,True,3.502851716283347,2.002851716498877,1.43686636300406e-10
108,-1.7667692184448245,1.9489613475662064,0.3669265814125538,,Zn,RF magnetron sputtering,,2.49,10.1007/s13391-017-7072-y,Zn,True,0.4489613475662064,1.9489613474301142,9.072806805638801e-11
109,-1.5743349075317383,2.106931183096753,0.368809968046844,,Zn,RF magnetron sputtering,,3.03,10.1007/s13391-017-7072-y,Zn,True,0.6069311830967532,2.1069311829592605,9.166184926312362e-11
110,-1.778340721130371,1.9394622703621278,0.3761832389049232,,Zn,RF magnetron sputtering,,13.8,10.1016/j.physb.2011.08.061,Si,True,0.4394622703621278,1.9394622702190825,9.536350319989137e-11
111,-2.0644725799560546,1.704575869572834,0.0088785530999302,,Si,RF magnetron sputtering,,4.92,10.1016/j.matlet.2017.08.052,Mg,True,3.204575869572834,1.7045758696328337,3.999999999840001e-11
112,0.3649892807006836,3.698927545917169,0.2966804618481546,,Mg,RF magnetron sputtering,,6.88,10.1016/j.matlet.2017.08.052,Mg,True,2.198927545917169,3.698927545828197,5.93145454669498e-11
113,0.4897087097167968,3.801310055541648,0.481313575617969,,Mg,RF magnetron sputtering,,8.58,10.1016/j.matlet.2017.08.052,Mg,True,2.301310055541648,3.8013100553074786,1.5611316780343814e-10
114,0.3037872314453125,3.6486866215771743,0.3135139587335288,,Mg,RF magnetron sputtering,O2_plasma,1.91,10.1016/j.mssp.2022.106471,Mg,True,5.148686621577174,3.6486866216765286,6.623645452471776e-11
115,9.994825172424315,11.604085336041214,1.9842930555343627,11.7347993850708,Mg,RF magnetron sputtering,O2_plasma,3.28,10.1016/j.mssp.2022.106471,Mg,True,,11.604085336041214,0.0
116,9.81798152923584,11.458913920940903,1.6467374682426452,11.7347993850708,Mg,RF magnetron sputtering,O2_plasma,5.22,10.1016/j.mssp.2022.106471,Mg,True,,11.458913920940903,0.0
117,10.222069931030273,11.790631160285495,1.96150963306427,11.7347993850708,Mg,RF magnetron sputtering,O2_plasma,1.0,10.1016/j.mssp.2024.108361,Mg,True,,11.790631160285495,0.0
118,-6.060171890258789,-1.5755042776890815,0.0067158565856516,,Mg,RF magnetron sputtering,O2_plasma,2.0,10.1016/j.mssp.2024.108361,Mg,True,-0.07550427768908152,-1.5755042776290813,3.999999999840001e-11
119,-6.0602165222167965,-1.5755409161816272,0.0064569775946438,,Mg,RF magnetron sputtering,O2_plasma,3.0,10.1016/j.mssp.2024.108361,Mg,True,-0.07554091618162717,-1.575540916121627,3.999999999840001e-11
120,-6.059105682373047,-1.5746290248116046,0.0071017843671143,,Mg,RF magnetron sputtering,,5.0,10.1088/1674-4926/37/4/042002,F,True,-0.0746290248116046,-1.5746290247516044,3.999999999840001e-11
121,1.209925651550293,4.392538050736,0.3676314036361873,,F,RF magnetron sputtering,,5.0,10.1063/1.4803802,W,True,,4.392538050736,0.0
122,2.0790886878967285,5.1060362894305005,2.0863358959555627,,W,RF magnetron sputtering,,11.0,10.1063/1.4803802,W,True,6.6060362894305005,5.106036293830402,2.9332681943695296e-09
123,2.7946949005126958,5.693479324797715,2.032890452444553,,W,RF magnetron sputtering,N2,0.2,,Ta,True,7.193479324797715,5.69347932897508,2.7849106440795473e-09
124,4.163819885253906,6.817397651181906,0.6126289571635425,,Ta,RF magnetron sputtering,N2,0.5,,Ta,True,8.317397651181906,6.817397651561282,2.529171942770474e-10
125,4.038432312011719,6.7144666601925245,0.5869457264430821,,Ta,RF magnetron sputtering,N2,1.0,,Ta,True,8.214466660192524,6.714466660540758,2.321556210962877e-10
126,4.245191383361816,6.8841957295078995,0.5052320112474262,,Ta,RF magnetron sputtering,N2,1.4,,Ta,True,8.3841957295079,6.8841957297659215,1.720144902187609e-10
127,4.28892822265625,6.920099416730746,0.6122350656427443,,Ta,RF magnetron sputtering,N2,1.5,,Ta,True,8.420099416730746,6.9200994171096335,2.525920711793009e-10
128,4.267831039428711,6.9027806831390155,0.6425602533854544,,Ta,RF magnetron sputtering,N2,1.53,,Ta,True,8.402780683139015,6.902780683556366,2.782345320716235e-10
129,4.327914428710938,6.9521032965440535,0.7721787206828594,,Ta,RF magnetron sputtering,N2,1.79,,Ta,True,8.452103296544053,6.952103297146767,4.0180836377911635e-10
130,4.478020477294922,7.0753257494135,0.5409151807427406,,Ta,RF magnetron sputtering,,10.0,10.1016/j.mssp.2021.106040,Ta,True,8.5753257494135,7.075325749709256,1.9717037114150611e-10
131,13.956427383422852,14.856175084171108,3.2754396915435797,,Ta,RF magnetron sputtering,,0.5,10.1016/j.optmat.2022.112491,Ta,True,16.356175084171106,14.856175095015715,7.2297374442880556e-09
132,4.814944076538086,7.351907224443913,0.5700726031325758,,Ta,RF magnetron sputtering,,1.0,10.1016/j.optmat.2022.112491,Ta,True,8.851907224443913,7.351907224772412,2.1899976745737574e-10
133,4.938305854797363,7.453175234966087,0.6854945910163224,,Ta,RF magnetron sputtering,,1.3,10.1016/j.optmat.2022.112491,Ta,True,8.953175234966087,7.4531752354410745,3.1665866634075324e-10
134,5.1000621795654295,7.585961430413208,0.8971794533543289,,Ta,RF magnetron sputtering,,1.5,10.1016/j.optmat.2022.112491,Ta,True,9.085961430413208,7.58596143122685,5.424278154303139e-10
135,5.158520698547363,7.633950183484933,0.8156494786962867,,Ta,RF magnetron sputtering,,0.3,10.1364/OME.8.003506,Sn,True,9.133950183484933,7.633950184157414,4.4832240113761245e-10
136,-1.801522636413574,1.920432174704059,0.4373353246599435,,Sn,RF magnetron sputtering,,0.5,10.1364/OME.8.003506,Sn,True,0.4204321747040589,1.920432174510727,1.2888798362330234e-10
137,-1.9037343978881835,1.8365262689806034,0.4497547497041523,,Sn,RF magnetron sputtering,,0.7,10.1364/OME.8.003506,Sn,True,0.33652626898060345,1.836526268776135,1.363122325429276e-10
138,-1.4555438995361327,2.2044470362028505,0.5829726059921085,,Sn,RF magnetron sputtering,,0.9,10.1364/OME.8.003506,Sn,True,0.7044470362028505,2.204447035859315,2.290232688701938e-10
