doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
chalcogen.ro Xu et al.,Sn,7.2,air,600.0,Sol-gel (spin-coat),exp,25.12741585830172,2.0,0.40084685745324933,760.0,259923572.15188038,,,1845309306162.8562,37.925368903796056,7.233986291428174e-06,4.902940325841663,0.0001326328190072826,,,
chalcogen.ro Xu et al.,Sn,14.4,air,600.0,Sol-gel (spin-coat),exp,25.12741585830172,2.3010299956639813,0.40084685745324933,760.0,259923572.15188038,,,1845309306162.8562,37.925368903796056,7.233986291428174e-06,4.902940325841663,0.0001326328190072826,,,
DOI:10.3390/s24175822,Sn,1.5,N2+O2,800.0,MOCVD (e-mode phototransistor),exp,22.092991076015654,3.0,0.24477301942469332,1.84,53631504707.86171,,,772667603869315.9,82.2545035051693,0.006569481356923936,4.902345347661113,0.000186477659943574,,,
DOI:10.1021/acsami.4c12331,Zr,2.0,O2,700.0,Hydrothermal+sputtered β-Ga₂O₃,exp,22.324303982324373,5.477121254719663,0.20897110463526225,,440559062947.2336,,,3086256674135162.0,37.83663202269672,0.012070442985021072,4.90201942849435,-0.0005919425265870639,,,
PMC11396281 review,Sn,0.00037,O2_plasma,700.0,PAMBE on (010) Ga₂O₃,exp,19.79374435107508,,0.2873438524415288,,21184869934.40451,1599999999999994.2,15.204119982655923,148879705833123.3,83.9807188693046,0.0012923905846565459,4.902618520420135,7.149399197226611e-06,,,
DOI:10.1016/j.surfcoat.2025.131691,Zn,2.5,O2,400.0,Spatial ALD,exp,32.576931380766766,3.0,3.6669842245745423,,1.8870593069139185e+20,4.999999999999999e+16,16.69897000433602,2.496757303973684e-43,37.84695647131077,9.76755769711837e-61,4.903044196720766,2.498491828736934e-05,,,
DOI:10.1016/j.surfcoat.2025.131691,Zn,5.1,O2,400.0,Spatial ALD,exp,32.81265005447848,3.4771212547196626,3.678170435037146,,3.2475224315576464e+20,2.0000000000000004e+16,16.30102999566398,1.6197808647786098e-43,37.83827465763228,6.335286868927435e-61,4.903044196720766,2.498491828736934e-05,,,
DOI:10.1016/j.surfcoat.2025.131940,Mg,1.01,Ar,800.0,RF magnetron sputtering,exp,32.57782411555941,,3.679963715896283,,1.8880914945353174e+20,,,1.511229670401506e-43,37.8469112501732,5.9120705639507796e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1016/j.mssp.2024.108428,Si,2.0,air,650.0,Mist-CVD (α-phase),exp,24.06337092675515,6.510545010206612,0.31249520600662706,,6437011695.278863,,,56274483106878.77,37.84145059406406,0.0002201192306571566,4.90273038531664,3.604629360208294e-05,,,
DOI:10.1016/j.sna.2023.114765,Sn,4e-05,air,600.0,Sol-gel,exp,20.282565203270828,4.0,0.33694682752699023,,2790708559.336197,1.5000000000000004e+16,16.17609125905568,21854576896726.625,88.72847410759687,0.00020043986955616116,4.902812136857391,4.4438347361674435e-06,,,
DOI:10.1016/j.sna.2023.114765,Sn,0.00014,air,600.0,Sol-gel,exp,20.464920184726466,4.698970004336019,0.34015450403506886,,2465023886.079841,4.999999999999999e+16,16.69897000433602,19304377996114.59,87.87885877215474,0.00017535530811294925,4.902821213062471,1.3520039816034256e-05,,,
DOI:10.1016/j.sna.2023.114765,Sn,0.00055,air,600.0,Sol-gel,exp,20.89875771246539,3.0,0.3466728124891345,,1915635003.7247305,2.0000000000000003e+17,17.30102999566398,15002134545340.734,83.99998013206796,0.00013025995835233637,4.9028386161098085,3.092308715333522e-05,,,
ACS Omega 2024 review,Sn,3e-05,N2,1050.0,CVD microbelts,exp,14.350435889808175,8.0,0.11636927000092268,0.5,559661675460.8445,1e+16,16.0,1.1075119216520157e+17,91.72852245299472,1.055695641916951,4.901387592467032,2.562869285729647e-05,,,
DOI:10.1063/5.0139622,Si,1.4e-05,O2,525.0,Suboxide MBE,exp,21.293003380850017,,0.3994905618376281,,451638969.0840077,5000000000000020.0,15.69897000433602,1944705916027.1003,88.97356970096203,1.7885193623829503e-05,4.902938522343623,1.1029236510005453e-06,,,
